date,open,high,low,close,volume,symbol
2025-03-26,118.73,118.84,112.71,113.76,296431667.0,NVDA
2025-03-27,111.35,114.45,110.66,111.43,236902055.0,NVDA
2025-03-28,111.485,112.87,109.0701,109.67,229872549.0,NVDA
2025-03-31,105.13,110.955,103.65,108.38,299212653.0,NVDA
2025-04-01,108.515,110.2,106.47,110.15,222614034.0,NVDA
2025-04-02,107.29,111.98,106.79,110.42,220601243.0,NVDA
2025-04-03,103.51,105.63,101.6,101.8,338769412.0,NVDA
2025-04-04,98.91,100.13,92.11,94.31,532273810.0,NVDA
2025-04-07,87.46,101.75,86.62,97.64,611041347.0,NVDA
2025-04-08,103.805,105.85,94.46,96.3,476243392.0,NVDA
2025-04-09,98.89,115.1,97.5301,114.33,612918336.0,NVDA
2025-04-10,109.37,110.86,99.15,107.57,437812353.0,NVDA
2025-04-11,108.5,111.5499,107.48,110.93,313417265.0,NVDA
2025-04-14,114.11,114.29,109.07,110.71,264705049.0,NVDA
2025-04-15,110.97,113.615,110.5,112.2,228966900.0,NVDA
2025-04-16,104.55,106.79,100.45,104.49,397016870.0,NVDA
2025-04-17,104.45,104.47,100.05,101.49,292517465.0,NVDA
2025-04-21,98.77,99.44,95.04,96.91,288501136.0,NVDA
2025-04-22,98.78,99.811,97.28,98.89,241004784.0,NVDA
2025-04-23,104.52,104.8,102.02,102.71,247525971.0,NVDA
2025-04-24,103.475,106.54,103.11,106.43,220815041.0,NVDA
2025-04-25,106.85,111.92,105.73,111.01,251064672.0,NVDA
2025-04-28,109.69,110.3699,106.02,108.73,207708479.0,NVDA
2025-04-29,107.67,110.1999,107.44,109.02,170444263.0,NVDA
2025-04-30,104.47,108.92,104.08,108.92,235044611.0,NVDA
2025-05-01,113.08,114.94,111.3,111.61,236121507.0,NVDA
2025-05-02,114.18,115.4,113.37,114.5,190194778.0,NVDA
2025-05-05,112.905,114.665,112.66,113.82,133163241.0,NVDA
2025-05-06,111.48,114.74,110.822,113.54,158525621.0,NVDA
2025-05-07,113.045,117.68,112.2818,117.06,207827821.0,NVDA
2025-05-08,118.25,118.68,115.85,117.37,198428122.0,NVDA
2025-05-09,117.35,118.23,115.21,116.65,132972189.0,NVDA
2025-05-12,121.97,123.0,120.28,123.0,225023345.0,NVDA
2025-05-13,124.98,131.2189,124.47,129.93,330430105.0,NVDA
2025-05-14,133.195,135.435,131.68,135.34,281180830.0,NVDA
2025-05-15,134.295,136.3,132.66,134.83,226632563.0,NVDA
2025-05-16,136.22,136.35,133.46,135.4,226542451.0,NVDA
2025-05-19,132.39,135.87,132.39,135.57,193154571.0,NVDA
2025-05-20,134.29,134.58,132.62,134.38,161514247.0,NVDA
2025-05-21,133.06,137.4,130.59,131.8,270608738.0,NVDA
2025-05-22,132.23,134.25,131.55,132.83,187343954.0,NVDA
2025-05-23,130.0,132.68,129.16,131.29,198821324.0,NVDA
2025-05-27,134.15,135.66,133.31,135.5,192953613.0,NVDA
2025-05-28,136.025,137.25,134.79,134.81,304021146.0,NVDA
2025-05-29,142.245,143.49,137.91,139.19,370615167.0,NVDA
